clusterID,Values,Size,IDs
cluster_6762, GETBB73B5DAEDXX; , 1,techcrave_2402; 
cluster_1684, 193268148338; Z4BMCLAF4OQAB4O9; , 1,massgenie_586; 
cluster_3679, 191927502583; 81C3000LUS; , 1,truecurate_121; 
cluster_823, 193124791791; 20MB001TUS; , 1,howardcomputer_1043; 
cluster_3340, 193015025424; 4SJ54USABA; , 1,howardcomputer_2097; 
cluster_12110, SNOINS235449SA; , 1,techcrave_2099; 
cluster_2219, FUJBUH0030000WAAAFR; , 1,techcrave_909; 
cluster_8635, 192876112526; LATI5590WH14J; , 1,savingslots_397; 
cluster_18459, 884116280958; , 2,antonline_1079; techcrave_2220; 
cluster_68, 888793857137; , 1,techcrave_578; 
cluster_13014, GETXJ5SL5UABXNL; , 1,techcrave_1099; 
cluster_11879, 115355341; 825633446106; , 1,walmart_697; 
cluster_19886, 192018230361; XPS95705804SLV; TO86JUFBJIEC8WTD; , 3,antonline_373; massgenie_253; savingslots_68; 
cluster_10910, 888793736326; , 1,techcrave_570; 
cluster_22769, 884116317722; 3YPFOCWLK2RUH83C; 889894869845; LATI5491D2DYW; V1H21UT; 45FE859B06D6F33E; , 8,massgenie_450; antonline_430; bestbuy_485; savingslots_137; buydig_197; antonline_724; truecurate_256; massgenie_428; 
cluster_8271, 89TMN; 40970733; , 1,pcmg_500; 
cluster_6939, FUJFAISP10484; , 1,techcrave_966; 
cluster_2218, NXSHWAA005;SF11431P5L7; B01N5B7H9D; 611343100243; , 1,electronicsface-268.html; 
cluster_6919, MP6G2LLA; APIPPW2512SG; 190198282521; , 1,sdicraft_606; 
cluster_265, X220I525850010REFURBISHED; 812177027960; , 1,bestbuy_778; 
cluster_14381, 47431727; 884116204275; , 1,walmart_724; 
cluster_21698, 884116281221; 20LF000PUS; , 4,savingslots_16; techcrave_2213; antonline_1097; buydig_157; 
cluster_2609, FUJM4YU74801050; , 1,techcrave_976; 
cluster_21973, 20L50010US; 192330092630; 191114378243; 40976665; 817478; , 5,savingslots_6; howardcomputer_101; pcmg_112; bestbuy_814; microcenter_72; 
cluster_10778, 884116293989; , 1,galleon_38; 
cluster_1564, 5JML7S3AQZTJSOQB; , 1,massgenie_762; 
cluster_2510, CF3118260CM; , 1,portableone_169; 
cluster_4688, 889349963913; , 1,techcrave_1783; 
cluster_12417, 190403012332; 55472773; , 1,walmart_193; 
cluster_13051, 884116280712; , 1,techcrave_2173; 
cluster_6779, 886389089160; , 1,ebay_20; 
cluster_9133, 825633446441; 437999998; , 1,walmart_262; 
cluster_14194, GE73RAIDERRGB012; 824142159644; , 1,truecurate_389; 
cluster_16402, 192330091770; , 2,antonline_872; ebay_143; 
cluster_897, HE820G41FX41; 190781337669; 1FX41UTABA; , 1,sdicraft_216; 
