clusterID,Values,Size,IDs
cluster_3851, DQUAEHGZPCDI9UIJ; , 1,massgenie_611; 
cluster_12282, Z0U1MNYK22BH; APMBU1MNYK22; , 1,sdicraft_14; 
cluster_12956, 15AQ165NR; 190781857792; , 1,truecurate_311; 
cluster_2391, 81CW0000US; 191999833233; , 1,truecurate_317; 
cluster_8807, 615317533860; 581946386; , 1,walmart_811; 
cluster_13186, 889842255805; , 1,antonline_38; 
cluster_101, SE1D2FAAADUX; , 1,portableone_272; 
cluster_6384, KNCCD; 5397184034040; , 1,box_0333; 
cluster_16614, 884116283324; , 2,techcrave_1984; antonline_1068; 
cluster_20058, 192545339414; 3ZF47UAABA; , 3,antonline_205; buydig_62; macmall_396; 
cluster_11082, 810033030116; HG156616E; , 1,howardcomputer_1559; 
cluster_7111, 192158696539; , 1,antonline_1070; 
cluster_4071, HPIG4E54UCABA; , 1,techcrave_479; 
cluster_8401, PT272E00U014EN; 4051528335132; NOT04282; , 1,cclonline_130; 
cluster_2390, 4713883530187; NXGSYSA001C77; , 1,jw_6; 
cluster_10793, T45031231; 825633456136; , 1,bestbuy_789; 
cluster_2781, B00476C4EB8CA77F; 884116255833; , 1,massgenie_262; 
cluster_12275, D54XY; B01DZ4ME42; 889349200599; , 1,electronicsface_104; 
cluster_1736, SMW728VZKCVZW; IN2KK983; 887276244396; , 1,microcart_159; 
cluster_9192, 825633457997; 640G231282; , 1,bestbuy_688; 
cluster_21328, 81FL0000US; 192330705882; 889349993569; , 4,truecurate_387; bestbuy_738; savingslots_290; macmall_370; 
cluster_2682, 184196738; , 1,walmart_378; 
cluster_4860, 889661190073; , 1,techcrave_1616; 
cluster_1887, 810033030581; , 1,antonline_710; 
cluster_6951, NX.GK4EK.009; , 1,box_0371; 
cluster_15167, 884116280989; 31X3Q0ZBN2BAS936; , 2,techcrave_2207; massgenie_167; 
cluster_3309, DC1NW45UTCA; 190781865254; , 1,kaizyr_44; 
cluster_16574, 192330060035; , 2,techcrave_230; antonline_885; 
cluster_1605, 729129079789; 175813483; , 1,walmart_465; 
cluster_13379, 20KES5C500; , 1,macmall_679; 
cluster_12620, CF33LE06VM; 885170327085; PACF33LE06VM; , 1,sdicraft_373; 
cluster_12586, 190781336570; DC1FX37UTCA; , 1,kaizyr_54; 
cluster_1278, 20K4002UUS; 192545006231; , 1,savingslots_204; 
cluster_9180, 65030872560; DCLTLOCKCA; , 1,kaizyr_149; 
cluster_9786, 643907577963; MGXA2LLA; , 1,bestbuy_249; 
cluster_5497, GETBA73BCDAEFXX; , 1,techcrave_2320; 
cluster_1100, 889842227093; , 1,antonline_45; 
cluster_21415, 190198677259; MR942LLA; , 4,bestbuy_267; galleon_29; abt_32; macmall_3; 
cluster_6569, 320353800; 884116254768; , 1,walmart_855; 
cluster_21791, 884116282983; LATI55906K77V; , 5,buydig_193; bestbuy_521; techcrave_1964; antonline_901; truecurate_63; 
cluster_2038, 8460PI525812810; 812177027663; , 1,bestbuy_627; 
cluster_2811, 20KF005FUS; 192563477341; , 1,howardcomputer_1071; 
cluster_10853, 884116261995; , 1,antonline_1154; 
cluster_12901, CF20C501VM; 885170302389; PACF20C501VM; , 1,sdicraft_316; 
cluster_2264, DMKFW3HP; , 1,techcrave_2001; 
cluster_4112, 191628034482; 15MBP011DX; , 1,truecurate_379; 
cluster_13895, 525064CE5FB220FA; , 1,massgenie_113; 
cluster_9736, CF3110451KM; , 1,portableone_138; 
cluster_13089, DCPA410S1CA; 92636220853; , 1,kaizyr_93; 
cluster_792, GETBA733FDAEDXX; , 1,techcrave_2295; 
cluster_7827, V1Q08UTABA; HEZB17G308UT; 889899042748; , 1,sdicraft_411; 
cluster_14510, CF54J2679VM; , 1,howardcomputer_1683; 
cluster_2474, 190780954508; Z9G66AWABA; , 1,howardcomputer_277; 
cluster_9847, 191376083992; 80US000LUK; NOT04194; , 1,cclonline_162; 
cluster_4069, 55605363; 190781580164; , 1,walmart_21; 
cluster_6988, LEN20KF001TUS; , 1,techcrave_1204; 
cluster_14677, 1BS96UTABA; HE1030G21B96; 40443568; 190781487180; , 2,pcmg_564; sdicraft_313; 
